class,cap-diameter,cap-shape,cap-color,stem-width
e,4.35,f,g,6.55
e,20.95,x,o,36.79
e,4.31,b,n,3.48
e,8.26,f,g,21.04
p,5.82,s,o,6.97
p,11.05,x,w,17.26
e,7.86,f,n,12.49
p,5.12,f,y,5.33
p,13.59,x,o,18.17
p,0.74,x,o,1.01
p,3.19,b,n,4.33
p,8.65,p,n,18.52
e,8.2,x,n,9.8
p,2.94,b,p,5.84
p,1.56,x,y,2.5
p,23.39,f,o,43.28
p,5.91,x,n,9.98
e,9.12,f,y,14.87
p,5.08,x,o,6.55
p,1.18,s,y,4.84
p,9.6,o,e,26.1
p,7.26,x,n,7.95
e,0.91,p,g,1.37
p,7.97,p,n,27.52
e,2.41,b,n,2.9
p,17.8,f,n,24.93
e,5.67,x,n,5.27
e,1.48,c,n,1.5
p,9.36,o,o,17.21
e,7.66,x,e,20.39
e,5.99,s,n,8.03
p,1.5,b,n,1.56
p,2.84,f,n,5.95
p,1.28,f,y,5.61
e,6.51,s,w,8.97
e,4.46,x,l,7.73
p,8.94,x,y,22.47
p,3.11,b,w,3.33
p,5.37,x,n,6.46
p,4.33,x,y,6.57
p,6.9,f,u,16.04
e,7.1,f,w,25.39
p,5.1,b,n,5.62
p,2.63,f,y,5.93
p,6.4,s,n,6.73
e,3.25,s,y,6.35
p,3.41,f,n,2.97
p,7.59,x,w,13.18
p,2.86,b,r,8.12
e,3.93,x,p,7.09
p,8.72,s,r,11.84
e,6.25,s,y,12.55
p,4.12,o,w,31.49
p,4.41,x,y,6.21
p,1.56,x,y,2.61
e,3.38,x,n,9.19
e,3.98,f,g,5.58
e,5.33,x,g,5.58
p,6.12,c,w,12.4
e,10.67,f,w,33.94
p,6.05,s,n,16.75
p,6.93,x,y,7.42
p,1.36,x,y,5.83
e,11.08,p,w,13.25
e,1.13,c,n,1.29
e,13.61,f,g,14.83
e,7.87,f,k,12.98
e,4.25,f,o,4.64
p,3.69,o,w,27.19
e,6.68,x,p,17.71
p,4.02,f,n,3.72
p,3.05,x,l,5.55
e,6.25,x,y,10.93
p,3.53,s,g,8.16
p,10.16,x,n,27.62
p,8.6,f,r,13.67
p,4.78,f,u,5.84
e,1.06,b,g,1.75
p,3.49,b,p,3.56
e,2.27,b,n,3.2
e,1,b,g,1.66
p,2.87,b,r,5.96
e,16.95,p,n,52.35
p,3.01,x,e,3.97
p,8.36,f,y,11.06
p,2.94,f,n,3.85
p,9.52,f,w,13.62
p,8.32,f,n,9.82
p,8.59,f,u,14.79
e,6.74,x,y,13.72
p,6.82,x,e,8.96
p,5.44,c,y,8.84
e,8.7,f,w,11.3
p,3.25,f,y,6.86
p,3.54,o,w,25.9
p,4.72,b,y,7.11
p,3.68,x,l,6.44
e,14.41,x,n,16.08
e,6.65,x,w,13.13
p,7.34,s,n,11.66
p,11.58,s,n,15.47
p,8.54,s,p,12.82
p,0.97,x,w,1.73
p,1.29,x,y,6.28
e,19.53,p,n,20.81
p,2.42,c,w,3.56
p,3.95,f,n,4.83
e,7.18,s,b,13.24
p,0.83,x,e,1.08
p,12,x,n,18.69
p,7.49,f,n,9.7
p,3.09,s,w,2.78
p,3.11,b,g,2.46
p,1.16,x,w,1.48
e,10.39,x,y,21.86
e,3.64,x,y,7.78
e,1.62,x,g,2.36
p,4.3,s,u,7.8
p,1.2,f,y,5.25
p,18.89,f,n,33.03
e,7.13,f,e,20.74
p,12.6,x,n,37.69
p,17.61,f,e,17.91
e,9.86,f,n,19.77
e,6.78,x,y,14.76
p,3.33,o,g,0
p,7.46,b,w,16.39
p,1.91,c,n,3.12
e,6.67,s,n,8.39
p,17.54,f,o,17.76
e,11.7,x,r,23.49
p,6.02,c,w,14.25
e,10.75,f,n,20.49
p,7.42,p,n,16.31
p,0.47,f,o,0.84
e,3.41,x,y,7.5
e,5.39,x,n,11.32
e,9.41,x,n,9.84
p,2.76,o,g,0
e,7.75,x,n,25.87
p,3.5,o,n,0
p,16.63,s,n,32.85
p,9.81,s,r,13.63
p,8.72,x,n,11.34
p,1.42,x,y,2.43
e,1.09,p,w,1.31
e,3.14,x,e,6.57
p,5.88,x,r,13.81
e,9.76,f,b,19.13
e,7.4,f,y,12.08
e,10.3,s,n,22.66
e,6.32,x,g,5.42
p,6.16,x,n,7.7
p,11.64,x,o,22.47
p,0.7,x,e,0.86
p,3.52,b,y,7.18
p,6.34,x,n,9.52
e,7.76,p,w,12.75
p,10.48,o,n,24.88
p,2.44,b,p,5.03
p,5.23,b,n,6.36
e,8.11,f,p,22.74
p,6.5,p,n,16.14
p,3.07,f,g,6.81
p,8.56,s,n,8.78
p,2.27,f,n,2.78
e,5.81,s,n,7.94
e,20.03,x,n,70.43
p,3.01,f,p,6.13
p,8.5,p,n,25.08
p,9.77,x,n,16
e,7.11,x,w,12.02
e,12.34,s,w,25.44
e,0.84,b,w,1.44
e,4.61,x,n,4.7
e,6.64,f,n,12.28
e,8.5,x,n,12.76
p,10.71,x,n,14.48
p,4.66,x,w,13.64
e,1.61,x,y,2.51
p,7.19,x,p,9.17
p,1.98,x,l,2.45
e,10.95,x,u,18.5
p,8.96,x,n,15.38
e,0.76,c,e,0.92
e,10.48,s,l,20.01
p,3.78,o,r,0
e,15.89,s,w,24.89
p,5.62,c,y,7.8
e,5.14,c,g,20.25
e,14.36,p,n,53.84
p,7.3,x,y,7.66
e,7.49,x,e,13.14
e,9.06,f,w,35.75
p,5.84,x,y,6.89
p,7.04,x,n,7.43
e,10.17,s,n,24.36
e,13.12,s,w,25.41
p,1.58,x,n,1.65
p,5.49,s,o,6.12
p,5.59,x,n,6.94
p,4.66,o,n,0
e,4.7,x,b,9.55
e,5.88,f,n,11.7
p,0.82,x,y,0.78
p,7.98,x,n,16.54
e,6.47,x,w,10.81
e,3.79,s,y,8.47
p,6.84,f,e,15.49
p,5.97,x,y,10.85
e,55.34,o,y,34.4
p,4.49,o,w,0
e,12.33,s,w,25.66
e,6.07,x,n,12.43
e,9.19,x,l,19.4
e,10.48,f,w,15.71
e,5.48,c,n,20.15
p,2.98,o,g,17.12
p,2.62,b,l,6.09
e,7.44,x,n,11.14
p,8.87,b,w,19.26
e,1.68,b,n,3.4
p,5.78,x,n,9.24
p,3.25,x,w,2.65
p,7.52,f,y,14.56
p,2.19,f,k,2.52
e,5.36,x,n,5.89
p,4.06,s,u,4.37
e,6.28,c,n,12.78
e,4.14,x,l,7.89
e,9.88,x,n,14.58
e,6.32,s,w,7.22
p,2.13,x,k,2.44
e,5.19,f,o,6.07
p,4.49,o,r,0
e,9.1,s,n,24.07
e,4.31,x,w,6.56
p,11.93,x,n,25.75
e,15.91,x,n,18.42
e,10.08,x,n,10.82
p,3.91,f,n,2.99
p,3.83,f,y,4.43
p,7.65,b,w,13.81
p,2.58,b,g,2.51
p,2.16,c,y,3.65
p,6.82,b,w,12.4
p,13.32,s,w,28.9
e,11.54,f,g,12.21
p,5.78,o,n,0
e,4.23,o,n,28.35
p,3.45,s,n,6.15
e,6.05,b,g,10.62
e,7.52,o,n,21.83
p,1.81,x,l,2.54
p,0.86,x,w,1.36
e,2.44,f,n,4.37
p,1.51,b,n,2.02
e,17.43,x,e,33.47
p,5.15,f,n,5.36
e,8.85,x,y,15.88
p,1.56,x,y,2.5
p,13.74,s,g,25.98
e,4.95,o,n,49.65
p,3.2,o,g,14.28
e,6.45,x,n,4.65
p,3.38,o,g,0
e,8.32,f,y,25.14
e,5.41,x,y,14.24
e,8.06,s,y,13.61
e,4.33,f,n,7.85
p,9.39,s,p,15.83
e,1.45,x,n,2.69
e,8.08,x,y,14.07
p,3.84,f,w,3.15
e,7.35,x,y,13.52
p,17.61,s,n,37.53
e,18.61,p,e,33.27
p,7.17,f,p,10.51
p,7.37,x,p,8.64
p,6.34,f,n,7.63
e,5.43,x,n,11.84
p,5.75,x,e,10.26
e,3.32,f,w,5.75
e,6.86,x,y,15.76
p,4.07,f,n,5.04
p,5.75,f,n,5.97
p,3.59,o,w,27.57
p,3.95,x,g,13.7
e,4.99,x,l,8.09
p,1.67,b,n,1.58
p,8.65,s,r,13.27
p,10.02,x,n,15.09
p,3.26,o,n,0
e,16.33,f,w,21.28
e,3.97,f,w,3.11
p,7.29,s,n,9.19
e,7.81,x,y,15.16
p,4.37,o,n,0
e,5.3,f,y,3.79
p,5.46,o,w,34.66
p,4.57,b,n,4.95
p,16.65,f,o,35.82
e,6.51,f,g,18.01
e,15.47,x,n,17.75
p,6.36,x,u,16.74
p,6.91,x,n,6.71
p,5.41,x,w,12.64
e,7.46,x,y,12.78
p,9.26,x,n,12.13
p,19.09,f,e,40.12
p,6.28,s,e,6.2
p,1.55,p,n,2.43
e,10.01,x,n,22.28
e,7.02,x,y,14.54
p,8.74,x,n,15.55
p,4.4,x,e,9.46
p,7.22,b,w,17.32
p,7.49,x,n,8.38
e,8.16,o,n,21.2
e,6.03,x,n,8.15
p,8.3,x,w,15.13
p,3.24,x,n,8.5
p,0.85,x,o,1.14
p,9.49,x,n,25.92
p,0.72,x,o,1.01
e,3.18,s,y,7.67
p,13.26,s,k,27.17
e,11.05,x,l,20.08
e,5.89,x,n,10.05
e,10.16,x,n,21.15
e,3.15,f,w,6.61
p,18.99,x,k,30.09
p,2.94,b,n,4.5
p,14.38,x,o,24.26
e,7.84,f,u,16.84
p,5.54,x,e,10.46
e,1.54,f,n,2.71
e,8.82,f,u,16.4
p,13.46,f,g,17.07
p,4.27,o,w,0
e,7.5,f,b,18.59
p,10,x,n,25.07
e,3.56,b,w,3.61
p,6.33,s,g,11.97
e,1.54,c,n,1.34
p,10.89,x,n,29.21
e,6.61,f,o,11.5
e,8.34,x,n,16.47
p,12.64,o,e,26.82
e,3.77,x,n,7.23
p,3.31,x,w,3.56
p,4.3,x,e,12.42
e,11.37,x,y,17.4
p,2.65,x,l,5.35
e,12.01,x,n,23.63
e,8,x,e,12.87
e,10.47,x,n,22.5
p,8.75,f,p,11.31
e,7.44,f,n,20.52
p,7.28,x,w,13.86
p,6.91,x,y,11.08
p,2.99,x,r,5.77
p,3.43,o,o,0
p,4.84,c,y,6.28
p,3.28,x,n,3.48
p,3.08,x,y,3.24
p,3.2,b,g,2.59
p,0.52,x,o,0.71
e,2.74,f,w,5.85
e,21.09,p,o,36.46
p,2.89,b,n,4.49
p,4.63,x,y,8.87
e,8.29,x,n,17.33
p,6.83,s,o,11.62
e,3.14,x,b,4.96
e,3.18,b,n,3.19
e,15.29,p,e,32.6
p,2.71,f,y,5.42
e,9.99,x,n,16.91
p,18.26,f,n,41.53
e,2.04,s,n,3.09
e,5.98,s,n,8.33
p,1.33,c,n,2.87
e,7.09,x,e,15.62
p,3.08,x,e,4.99
p,4.45,x,e,7.33
e,11.75,f,b,20.92
e,50.63,o,y,31.69
e,9.08,f,p,19.52
e,5.91,s,u,15.36
e,4.78,x,w,12.79
p,3.6,s,u,5.39
e,3.04,s,u,5.14
p,1.24,s,y,5.59
p,4.49,x,o,7.61
p,7.21,x,n,14.11
p,3.34,f,n,3.13
e,8.53,x,n,11.9
p,6.32,x,e,8.78
p,4.24,f,u,6.83
p,8.39,s,y,18.6
p,3.57,s,u,5.25
e,8.4,f,n,17.89
e,4.65,f,w,4.18
e,11.89,f,w,12.31
p,4.98,x,n,5.92
e,14.18,f,k,21.15
e,8.89,x,n,22
p,13.14,f,o,18.05
e,3.79,s,n,7.37
p,8.2,x,w,11.15
p,2.98,b,n,2.55
p,4.52,s,e,5.18
e,4.21,f,w,6.53
e,1.45,f,g,2.44
e,11.86,x,n,60.73
e,3.2,x,n,6.71
e,2.74,x,w,5.31
e,3.16,b,n,3.18
p,2.03,f,n,3.09
e,7.11,s,n,16.33
p,6.55,f,e,16.83
e,11.98,x,y,20.17
p,5.9,x,e,6.6
p,4.36,o,w,30.65
e,11.79,s,w,27.28
e,11.38,f,e,15.76
p,5.83,c,y,8.43
p,2.42,x,n,2.49
e,6.94,x,w,8.8
p,3.26,x,o,5.44
e,13.57,x,n,21.82
e,5.37,x,n,7.52
p,2.79,f,w,3.36
e,1.37,c,n,1.18
p,2.45,f,o,4.99
p,3.17,b,e,3.45
e,3.76,f,n,5.97
e,8.09,p,n,16.16
p,0.63,x,e,0.78
p,2.31,b,g,2.05
p,7.81,x,w,12.67
e,6.03,s,n,8.66
p,3.85,x,n,6.19
p,8.25,f,n,24.34
e,10.27,f,w,12.07
e,2.53,x,u,3.67
e,9.21,x,y,23.65
e,7.74,x,n,25.05
p,4.21,f,n,4.41
p,8.45,x,w,16.13
p,4.3,f,n,4.37
p,6.92,x,p,9.21
p,5.21,x,y,8.7
